Node#	Total
724		2
731		2
732		2
744		2
746		2
759		2
772		2
794		2
798		2
801		2
808		2
824		2
838		2
839		2
842		2
843		2
850		2
868		2
873		2
882		2
893		2
902		2
920		2
938		2
940		2
942		2
966		2
972		2
988		2
996		2
999		2
1003	2
449		1
524		1
561		1
578		1
583		1
595		1
603		1
606		1
622		1
626		1
657		1
668		1
680		1
688		1
701		1
750		1
755		1
761		1
762		1
770		1
774		1
775		1
780		1
787		1
790		1
792		1
795		1
827		1
830		1
831		1
834		1
853		1
858		1
861		1
862		1
863		1
864		1
871		1
875		1
876		1
879		1
881		1
888		1
894		1
897		1
899		1
901		1
904		1
910		1
915		1
916		1
928		1
941		1
943		1
944		1
946		1
948		1
959		1
960		1
961		1
965		1
973		1
975		1
982		1
985		1
993		1
994		1
995		1
998		1
1002	1
1004	1
